spcd;common_name;genus;species
6235;Caribbean myrtlecroton;Bernardia;dichotoma
372;sweet birch;Betula;lenta
373;river birch;Betula;nigra
374;water birch;Betula;occidentalis
375;paper birch;Betula;papyrifera
6233;slugwood;Beilschmiedia;pendula
379;gray birch;Betula;populifolia
370;birch ;Betula;
377;Virginia roundleaf birch;Betula;uber
378;northwestern paper birch;Betula;x utahensis
6236;Javanese bishopwood;Bischofia;javanica
7305;roseta;Guettarda;pungens
7311;rhoifolia;Guioa;rhoifolia
7280;holywood;Guajacum;sanctum
7306;wild guave;Guettarda;scabra
7307;puapua;Guettarda;speciosa
7298;bastardcedar;Guazuma;ulmifolia
7309;cucubano de monte;Guettarda;valenzuelana
7319;vilivili;Gyrocarpus;americanus
571;Kentucky coffeetree;Gymnocladus;dioicus
7315;West Indian false box;Gyminda;latifolia
7317;oysterwood;Gymnanthes;lucida
7321;bloodwoodtree;Haematoxylum;campechianum
581;Carolina silverbell;Halesia;carolina
582;two-wing silverbell;Halesia;diptera
7332;Haplolobus floribundus;Haplolobus;floribundus
580;silverbell ;Halesia;
583;little silverbell;Halesia;parviflora
7330;scarletbush;Hamelia;patens
7327;palo de hueso;Haenianthus;salicifolius
7341;cigarbush;Hedyosmum;arborescens
7371;Maui island-aster;Hesperomannia;arbuscula
7374;toyon;Heteromeles;arbutifolia
7370;Lanai island-aster;Hesperomannia;arborescens
7381;para rubber tree;Hevea;brasiliensis
7336;false locust;Hebestigma;cubense
7338;denticulata;Hedycarya;denticulata
7340;Hedycarya;Hedycarya;
7345;starviolet;Hedyotis;
7377;palma brava;Heterospathe;elata
7353;camasey peludo;Henriettea;fascicularis
7343;Fosbergs starviolet;Hedyotis;fosbergii
7344;manono;Hedyotis;hillebrandii
7347;screwtree;Helicteres;jamaicensis
7359;ufa;Heritiera;littoralis
7350;heliocarpus;Heliocarpus;
7360;ufa halemtano;Heritiera;longipetiolata
7354;MacFadyen's camasey;Henriettea;macfadyenii
7355;thinleaf camasey;Henriettea;membranifolia
7363;pipi;Hernandia;moerenhoutiana
7364;pua, Chinese lantern tree;Hernandia;nymphaeifolia
7365;Hernandia ovigera;Hernandia;ovigera
7349;white moho;Heliocarpus;popayanensis
7362;Heritiera;Heritiera;
7367;Hernandia;Hernandia;
7366;mago;Hernandia;sonora
7373;island-aster;Hesperomannia;
7357;jusillo;Henriettea;squamulosum
7346;variable starviolet;Hedyotis;terminalis
7376;toyon;Heteromeles;
7393;white rosemallow;Hibiscus;arnottianus
7390;hibiscadelphus;Hibiscadelphus;
7411;rosemallow;Hibiscus;
7384;hau kuahiwi;Hibiscadelphus;bombycinus
7397;Brackenridges rosemallow;Hibiscus;brackenridgei
7401;lemonyellow rosemallow;Hibiscus;calyphyllus
7402;red Kauai rosemallow;Hibiscus;clayi
7385;lava hau kuahiwi;Hibiscadelphus;crucibracteatus
7386;Kauai hau kuahiwi;Hibiscadelphus;distans
8397;hairy wild coffee;Psychotria;pubescens
8398;Psychotria rhombocarpa;Psychotria;rhombocarpa
8399;Psychotria rotensis;Psychotria;rotensis
8353;Florida cherry palm;Pseudophoenix;sargentii
8359;Sintenis' guava;Psidium;sintenisii
8352;false breadnut;Pseudolmedia;spuria
8401;leatherleaf wild coffee;Psychotria;wawrae
8407;pterocarpus;Pterocarpus;indicus
8404;Kauai pteralyxia;Pteralyxia;kauaiensis
8412;Ptychococcus ledermannianus;Ptychococcus;ledermannianus
8405;ridged pteralyxia;Pteralyxia;macrocarpa
8409;Malabar kino;Pterocarpus;marsupium
8408;Burma padauk;Pterocarpus;macrocarpus
8415;Macarthur feather palm;Ptychosperma;macarthuri
8410;dragonsblood tree;Pterocarpus;officinalis
8416;chesdbuuch;Ptychosperma;palauense
8418;Ptychosperma;Ptychosperma;
8419;pomegranate;Punica;granatum
801;California live oak;Quercus;agrifolia
802;white oak;Quercus;alba
803;Arizona white oak;Quercus;arizonica
804;swamp white oak;Quercus;bicolor
8513;Buckley oak;Quercus;buckleyi
805;canyon live oak;Quercus;chrysolepis
806;scarlet oak;Quercus;coccinea
807;blue oak;Quercus;douglasii
809;northern pin oak;Quercus;ellipsoidalis
810;Emory oak;Quercus;emoryi
811;Engelmann oak;Quercus;engelmannii
800;oak ;Quercus;
812;southern red oak;Quercus;falcata
814;Gambel oak;Quercus;gambelii
815;Oregon white oak;Quercus;garryana
851;Chisos oak;Quercus;graciliformis
8511;Graves oak;Quercus;gravesii
846;gray oak;Quercus;grisea
843;silverleaf oak;Quercus;hypoleucoides
816;scrub oak;Quercus;ilicifolia
817;shingle oak;Quercus;imbricaria
842;bluejack oak;Quercus;incana
818;California black oak;Quercus;kelloggii
8514;Lacey oak;Quercus;laceyi
819;turkey oak;Quercus;laevis
820;laurel oak;Quercus;laurifolia
821;California white oak;Quercus;lobata
822;overcup oak;Quercus;lyrata
823;bur oak;Quercus;macrocarpa
824;blackjack oak;Quercus;marilandica
840;dwarf post oak;Quercus;margarettiae
6238;lipsticktree;Bixa;orellana
6237;bishopwood;Bischofia;
6239;bixa;Bixa;
6240;akee;Blighia;sapida
6245;ahakea;Bobea;
6242;akupa;Bobea;brevipes
6248;bocconia;Bocconia;
6251;white alling;Bontia;daphnoides
6243;ahakea lau nui;Bobea;elatior
6247;parrotweed;Bocconia;frutescens
6253;Bourreria radula;Bourreria;radula
6244;Hawaii dogweed;Bobea;sandwicensis
6255;bodywood;Bourreria;succulenta
6246;ahakea;Bobea;timonioides
6257;roble de guayo;Bourreria;virgata
6250;virgata;Boehmeria;virgata
6272;American brunfelsia;Brunfelsia;americana
6260;kanawao;Broussaisia;arguta
6270;West Indian sumac;Brunellia;comocladiifolia
6273;Serpentine Hill raintree;Brunfelsia;densifolia
6274;vega blanca;Brunfelsia;lactea
6267;smallflower bruguiera;Bruguiera;parviflora
6262;paper mulberry;Broussonetia;papyrifera
6275;Puerto Rico raintree;Brunfelsia;portoricensis
6268;Oriental mangrove;Bruguiera;sexangula
6269;bruguiera;Bruguiera;
6286;dogtail;Buddleja;asiatica
6284;gregorywood;Bucida;buceras
6280;Buchanania;Buchanania;
6277;omail;Buchanania;engleriana
6295;cafe forastero;Bunchosia;glandulosa
6294;cafe falso;Bunchosia;glandulifera
6303;Buxus laevigata;Buxus;laevigata
6278;gasu;Buchanania;merrillii
6279;omail, deuachel;Buchanania;palawensis
6304;Puerto Rico box;Buxus;portoricensis
6297;Bunchosia polystachia;Bunchosia;polystachia
6299;Burckella richii;Burckella;richii
854;gumbo limbo;Bursera;simaruba
6283;fourleaf buchenavia;Buchenavia;tetraphylla
6405;keuert;Casearia;cauliflora
6306;Vahl's box;Buxus;vahlii
6308;maricao cimun;Byrsonima;crassifolia
6311;Long Key locustberry;Byrsonima;lucida
6313;doncella;Byrsonima;spicata
6315;almendrillo;Byrsonima;wadsworthii
6402;rabo de ranton;Casearia;aculeata
409;mockernut hickory;Carya;alba
6383;burro blanco;Capparis;amplissima
6326;caparosa;Callicarpa;ampla
6338;Antilles calophyllum;Calophyllum;antillanum
401;water hickory;Carya;aquatica
6403;gia verde;Casearia;arborea
6384;caper;Capparis;baducca
451;southern catalpa;Catalpa;bignonioides
7403;mahoe;Hibiscus;elatus
7387;Kilauea hau kuahiwi;Hibiscadelphus;giffardianus
7388;Hualalai hau kuahiwi;Hibiscadelphus;hualalaiensis
7404;red rosemallow;Hibiscus;kokio
6498;ellipticleaf papala;Charpentiera;elliptica
883;manchineel;Hippomane;mancinella
7407;largeleaf rosemallow;Hibiscus;macrophyllus
7408;Dixie rosemallow;Hibiscus;mutabilis
7409;seaside mahoe;Hibiscus;pernambucensis
7389;hau kuahiwi;Hibiscadelphus;puakuahiwi
7410;shoeblackplant;Hibiscus;rosa-sinensis
7418;teta de burra cinarron;Hirtella;rugosa
7412;sea hibiscus;Hibiscus;tiliaceus
7420;pigeonberry;Hirtella;triandra
7413;white Kauai rosemallow;Hibiscus;waimeae
7391;Maui hau kuahiwi;Hibiscadelphus;wilderianus
7392;Woods hau kuahiwi;Hibiscadelphus;woodii
8008;fanuamamala;Homalanthus;acuminatus
7427;chemeklachel, eumail;Horsfieldia;amklaal
8010;Homalanthus;Homalanthus;
7428;ersachel;Horsfieldia;novoguineensis
7429;Horsfieldia nunu;Horsfieldia;nunu
8009;fanuamamala;Homalanthus;nutans
7430;chersachel;Horsfieldia;palauensis
7422;white cogwood;Homalium;racemosum
7431;Horsfieldia;Horsfieldia;
7424;Homalium whitmeeanum;Homalium;whitmeeanum
7434;sandbox tree;Hura;crepitans
7448;Canary Island St. Johnswort;Hypericum;canariense
7438;cedro macho;Hyeronima;clusioides
7442;stinkingtoe;Hymenaea;courbaril
7446;limestone snakevine;Hyperbaena;laurifolia
7440;nightblooming cactus;Hylocereus;
7445;inkwood;Hypelate;trifoliata
7441;nightblooming cactus;Hylocereus;undatus
7453;Hawaii holly;Ilex;anomala
7454;English holly;Ilex;aquifolium
7455;dahoon;Ilex;cassine
7456;te;Ilex;cookii
7464;holly;Ilex;
7457;maconcona;Ilex;guianensis
7458;Caribbean holly;Ilex;macfadyenii
7459;Puerto Rico holly;Ilex;nitida
591;American holly;Ilex;opaca
7460;mate;Ilex;paraguariensis
7462;gongolin;Ilex;sideroxyloides
7463;Sintenis' holly;Ilex;sintenisii
7465;Urban's holly;Ilex;urbaniana
7466;Ilex urbaniana;Ilex;urbaniana
7477;ifilele;Intsia;bijuga
7475;ifi;Inocarpus;fagifer
7467;inga;Inga;
6518;goosefoot;Chenopodium;
7777;omechidel;Meryta;senfftiana
7470;sacky sac bean;Inga;laurina
7471;Inga nobilis;Inga;nobilis
7474;river koko;Inga;vera
7479;palo de hierro;Ixora;ferrea
7481;white jungleflame;Ixora;thwaitesii
7485;braceletwood;Jacquinia;armillaris
825;swamp chestnut oak;Quercus;michauxii
841;dwarf live oak;Quercus;minima
826;chinkapin oak;Quercus;muehlenbergii
827;water oak;Quercus;nigra
829;Mexican blue oak;Quercus;oblongifolia
844;Oglethorpe oak;Quercus;oglethorpensis
830;pin oak;Quercus;palustris
813;cherrybark oak;Quercus;pagoda
831;willow oak;Quercus;phellos
8512;Mexican white oak;Quercus;polymorpha
845;dwarf chinkapin oak;Quercus;prinoides
832;chestnut oak;Quercus;prinus
833;northern red oak;Quercus;rubra
847;netleaf oak;Quercus;rugosa
834;Shumard oak;Quercus;shumardii
836;Delta post oak;Quercus;similis
808;Durand oak;Quercus;sinuata
835;post oak;Quercus;stellata
8424;cork oak;Quercus;suber
828;Texas red oak;Quercus;texana
8422;swizzlestick tree;Quararibea;turbinata
837;black oak;Quercus;velutina
838;live oak;Quercus;virginiana
839;interior live oak;Quercus;wislizeni
8425;white indigoberry;Randia;aculeata
8432;omechidel;Rauvolfia;insularis
8436;traveler's tree;Ravenala;madagascariensis
8430;togo vao;Rapanea;myricifolia
8433;palo amargo;Rauvolfia;nitida
8434;devils-pepper;Rauvolfia;sandwicensis
8439;tortugo prieto;Ravenia;urbanii
8435;devils-pepper;Rauvolfia;
8431;poison devils-pepper;Rauvolfia;vomitoria
8444;guama;Reynosia;guama
8445;Krug's darlingplum;Reynosia;krugii
8440;vi vao;Reynoldsia;lanutoensis
8442;ohe makai;Reynoldsia;sandwicensis
8447;sloe;Reynosia;uncinata
8443;reynoldsia;Reynoldsia;
8458;mangle;Rhizophora;apiculata
8456;Rheeda;Rheedia;edulis
8463;mangrove;Rhizophora;
8460;Rhizophora lamarckii;Rhizophora;lamarckii
989;American mangrove;Rhizophora;mangle
8462;mangle hembra;Rhizophora;mucronata
8465;rose myrtle;Rhodomyrtus;
8467;neneleau;Rhus;sandwicensis
8464;Rhizophora stylosa;Rhizophora;stylosa
8469;tavai;Rhus;taitensis
8466;Rhodomyrtus tomentosus;Rhodomyrtus;tomentosa
8468;sumac;Rhus;
8474;Rinorea carolinensis;Rinorea;carolinensis
8473;ricinus;Ricinus;
8472;castorbean;Ricinus;communis
8476;greenheart ebony;Rochefortia;acanthophora
8489;Puerto Rico royal palm;Roystonea;borinquena
6366;kelela charm, kiu;Campnosperma;brevipetiolatum
391;American hornbeam, musclewood;Carpinus;caroliniana
413;southern shagbark hickory;Carya;carolinae-septentrionalis
6350;degame;Calycophyllum;candidissimum
6328;crimson bottlebrush;Callistemon;citrinus
402;bitternut hickory;Carya;cordiformis
6331;Callitris columellaris;Callitris;columellaris
6317;divi divi;Caesalpinia;coriaria
6433;river sheoak;Casuarina;cunninghamiana
6386;Jamaican caper;Capparis;cynophallophora
6406;wild honeytree;Casearia;decandra
421;American chestnut;Castanea;dentata
81;incense-cedar;Calocedrus;decurrens
6337;Caloncoba echinata;Caloncoba;echinata
6430;Panama rubbertree;Castilla;elastica
6434;beach sheoak;Casuarina;equisetifolia
6429;goatbush;Castela;erecta
6316;nicker;Caesalpinia;
7620;lau pata;Macaranga;harveyana
6415;golden shower;Cassia;fistula
6387;falseteeth;Capparis;flexuosa
411;scrub hickory;Carya;floridana
856;gray sheoak;Casuarina;glauca
403;pignut hickory;Carya;glabra
6417;pink shower;Cassia;grandis
6407;Guyanese wild coffee;Casearia;guianensis
6427;goatwood;Cassipourea;guianensis
6393;crabwood;Carapa;guianensis
6372;mafoa;Canarium;mafoa
6389;broadleaf caper;Capparis;hastata
6373;mesecheues;Canarium;hirsutum
404;pecan;Carya;illinoinensis
6341;Alexandrian laurel;Calophyllum;inophyllum
6374;lukerr;Canarium;indicum
6390;linguam;Capparis;indica
6418;apple blossom;Cassia;javanica
6318;uhiuhi;Caesalpinia;kavaiensis
6351;Kiaerskov's lidflower;Calyptranthes;kiaerskovii
6352;limoncillo;Calyptranthes;krugii
405;shellbark hickory;Carya;laciniosa
857;belah;Casuarina;lepidophloia
6437;gagu,australian pine;Casuarina;litorea
6439;Haitian catalpa;Catalpa;longissima
6345;calophyllum;Calophyllum;
6347;calotropis;Calotropis;
6353;Luquillo forest lidflower;Calyptranthes;luquillensis
6381;Olasina;Psydrax;merrillii
6399;fish tail palm;Caryota;mitis
424;Chinese chestnut;Castanea;mollissima
406;nutmeg hickory;Carya;myristiciformis
6377;Canarium;Canarium;
6342;tamanu;Calophyllum;neo-ebudicum
7487;bois bande;Jacquinia;berteroi
7483;jacaranda;Jacaranda;
7491;Barbados nut;Jatropha;curcas
7492;wild oilnut;Jatropha;hernandiifolia
7482;black poui;Jacaranda;mimosifolia
7493;coralbush;Jatropha;multifida
7494;nettlespurge;Jatropha;
7490;chirriador;Jacquinia;umbellata
61;Ashe juniper;Juniperus;ashei
604;southern California black walnut;Juglans;californica
62;California juniper;Juniperus;californica
601;butternut;Juglans;cinerea
59;redberry juniper;Juniperus;coahuilensis
63;alligator juniper;Juniperus;deppeana
60;Drooping juniper;Juniperus;flaccida
600;walnut ;Juglans;
603;northern California black walnut;Juglans;hindsii
7495;West Indian walnut;Juglans;jamaicensis
606;Arizona walnut;Juglans;major
605;Texas walnut;Juglans;microcarpa
69;oneseed juniper;Juniperus;monosperma
602;black walnut;Juglans;nigra
57;redcedar/juniper ;Juniperus;
64;western juniper;Juniperus;occidentalis
7666;kohle;Manilkara;hoshinoi
6877;Niihau delissea;Delissea;niihauensis
65;Utah juniper;Juniperus;osteosperma
58;Pinchot juniper;Juniperus;pinchotii
66;Rocky Mountain juniper;Juniperus;scopulorum
68;eastern redcedar;Juniperus;virginiana
67;southern redcedar;Juniperus;virginiana
7497;ketoguit;Kayea;pacifica
7499;Khaya anthotheca;Khaya;anthotheca
7501;Senegal mahogany;Khaya;senegalensis
7503;Kigelia africana;Kigelia;africana
7506;guest tree;Kleinhovia;hospita
7509;Molokai treecotton;Kokia;cookei
7510;Hawaii treecotton;Kokia;drynarioides
7511;Kauai treecotton;Kokia;kauaiensis
7513;treecotton;Kokia;
7512;Wailupe Valley treecotton;Kokia;lanceolata
7508;Koanophyllon polyodon;Koanophyllon;polyodon
7514;leadwood;Krugiodendron;ferreum
7516;burgan;Kunzea;ericoides
7517;Kunzea;Kunzea;
7523;labordia;Labordia;
7539;Langsat;Lansium;domesticum
7518;summit labordia;Labordia;fagraeoidea
7519;bog labordia;Labordia;hedyosmifolia
7520;mountain labordia;Labordia;hirtella
8703;popona;Syzygium;richii
7532;crapemyrtle;Lagerstroemia;indica
7550;henna;Lawsonia;inermis
7521;Waianae Range labordia;Labordia;kaalae
71;tamarack (native);Larix;laricina
7543;bluelatan;Latania;loddigesii
72;subalpine larch;Larix;lyallii
8480;Rollinia;Rollinia;deliciosa
8490;Roystonea elata;Roystonea;elata
8483;cordobancillo;Rondeletia;inermis
8481;wild sugar apple;Rollinia;mucosa
902;New Mexico locust;Robinia;neomexicana
8491;royal palm;Roystonea;oleracea
8484;cordobancillo peludo;Rondeletia;pilosa
8485;Juan Tomas;Rondeletia;portoricensis
901;black locust;Robinia;pseudoacacia
8478;Rochefortia spinosa;Rochefortia;spinosa
909;royal palm ;Roystonea;
927;white willow;Salix;alba
931;sassafras;Sassafras;albidum
921;peachleaf willow;Salix;amygdaloides
923;Bebb willow;Salix;bebbiana
924;Bonpland willow;Salix;bonplandiana
8494;Puerto Rico palmetto;Sabal;causiarum
925;coastal plain willow;Salix;caroliniana
8556;guayabilla;Samyda;dodecandra
8516;coastal sandalwood;Santalum;ellipticum
8517;forest sandalwood;Santalum;freycinetianum
8533;gumtree;Sapium;glandulosum
8521;Haleakala sandalwood;Santalum;haleakalae
8501;Salix humboldtiana;Salix;humboldtiana
8503;etkeam, cheskeam;Samadera;indica
8534;maskerekur;Sapium;indicum
8515;santol, kechapi;Sandoricum;koetjape
8535;hinchahuevos;Sapium;laurifolium
8536;milktree;Sapium;laurocerasus
920;willow ;Salix;
8506;raintree;Samanea;
8510;raintree;Sambucus;
911;Mexican palmetto;Sabal;mexicana
922;black willow;Salix;nigra
8706;ohia ha;Syzygium;sandwicense
8509;common elderberry;Sambucus;nigra
8526;sandalwood;Santalum;
8528;lonomea;Sapindus;oahuense
912;cabbage palmetto;Sabal;palmetto
8544;uunu;Sarcopygme;pacifica
8522;mountain sandalwood;Santalum;paniculatum
8531;soapberry;Sapindus;
926;balsam willow;Salix;pyrifolia
8505;raintree;Samanea;saman
8529;wingleaf soapberry;Sapindus;saponaria
8525;willowleaf sandalwood;Santalum;salicifolium
919;western soapberry;Sapindus;saponaria
928;Scouler's willow;Salix;scouleriana
929;weeping willow;Salix;sepulcralis
8546;amansa guapo;Savia;sessiliflora
8499;white hogwood;Sagraea;umbrosa
8532;vitiensis;Sapindus;vitiensis
888;octopus tree, schefflera;Schefflera;actinophylla
8552;naupaka;Scaevola;
8571;arana;Schoepfia;arenaria
8548;Scaevola, naupaka;Scaevola;cerasifolia
6370;ilang-ilang;Cananga;odorata
407;shagbark hickory;Carya;ovata
412;red hickory;Carya;ovalis
6375;Pili Nut;Canarium;ovatum
6395;papaya;Carica;papaya
410;sand hickory;Carya;pallida
6354;pale lidflower;Calyptranthes;pallens
6343;chesemolech;Calophyllum;pelewense
6355;Puerto Rico lidflower;Calyptranthes;portoricensis
6346;roostertree;Calotropis;procera
6319;pride-of-Barbados;Caesalpinia;pulcherrima
422;Allegheny chinkapin;Castanea;pumila
423;Ozark chinkapin;Castanea;pumila
6397;scorpionbush;Carmona;retusa
6360;Puerto Rico manac;Calyptronoma;rivalis
6396;papaya;Carica;
6398;scorpionbush;Carmona;
400;hickory ;Carya;
6400;Caryota;Caryota;
6320;sappanwood;Caesalpinia;sappan
6408;Casearia;Casearia;
6420;kassod tree;Cassia;siamea
8704;nonu vao;Syzygium;samarangense
6356;limoncillo de monte;Calyptranthes;sintenisii
6344;olebtaches, chesemolech;Calophyllum;soulattri
452;northern catalpa;Catalpa;speciosa
6422;Cassia;Cassia;
420;chestnut ;Castanea;
6325;Surinamese stickpea;Calliandra;surinamensis
855;sheoak ;Casuarina;
6410;crackopen;Casearia;sylvestris
450;catalpa ;Catalpa;
408;black hickory;Carya;texana
6358;Thomas' lidflower;Calyptranthes;thomasiana
6401;fishtail palm;Caryota;urens
6378;maali;Canarium;vitiense
6380;wild cinnamon;Canella;winteriana
6425;marbletree;Cassine;xylocarpa
6359;myrtle of the river;Calyptranthes;zuzygium
6447;pochote;Ceiba;acuminata
6448;pochote;Ceiba;aesculifolia
6473;orange jessamine;Cestrum;aurantiacum
8705;fena vao;Syzygium;samoense
8708;syzygium;Syzygium;
471;eastern redbud;Cercis;canadensis
6444;pumpwood;Cecropia;
6459;chuti;Cerbera;dilatata
6474;day jessamine;Cestrum;diurnum
6460;emeridech;Cerbera;floribunda
6468;lady of the night cactus;Cereus;hexagonus
6469;Cereus hildmannianus;Cereus;hildmannianus
461;sugarberry;Celtis;laevigata
6475;galen del monte;Cestrum;laurifolium
463;netleaf hackberry;Celtis;laevigata
475;curlleaf mountain-mahogany;Cercocarpus;ledifolius
460;hackberry ;Celtis;
6461;leva;Cerbera;manghas
7522;Wahiawa Mountain labordia;Labordia;lydgatei
73;western larch;Larix;occidentalis
7541;nino de cota;Laplacea;portoricensis
7530;cuero de rana;Laetia;procera
988;white-mangrove;Laguncularia;racemosa
70;larch ;Larix;
6552;quinine;Cinchona;pubescens
8073;menne;Pandanus;menne
7533;pride of India;Lagerstroemia;speciosa
7524;paleflower labordia;Labordia;tinifolia
7528;Lanai labordia;Labordia;triflora
7529;Nevada peavine;Labordia;waiolani
7564;Leucaena insularum;Leucaena;insularum
7552;Krug's roughleaf;Leandra;krugiana
7565;white leadtree;Leucaena;leucocephala
7558;large-leaf yellow teatree;Leptospermum;morrisonii
7559;common teatree;Leptospermum;petersonii
7560;common teatree;Leptospermum;polygalifolim
7562;teatree;Leptospermum;
869;Great leucaene;Leucaena;pulverulenta
7556;pitahaya;Leptocereus;quadricostatus
7561;broom teatree;Leptospermum;scoparium
7566;leadtree;Leucaena;
7574;Amur privet;Ligustrum;amurense
7569;Maria laurel;Licaria;brittoniana
7588;fountain palm;Livistona;chinensis
7583;Lychee;Litchi;chinensis
631;tanoak;Lithocarpus;densiflorus
7576;privet;Ligustrum;
7570;Puerto Rico cinnamon;Licaria;parvifolia
7586;papaono;Litsea;samoensis
7575;Chinese privet;Ligustrum;sinense
611;sweetgum;Liquidambar;styraciflua
7726;leiohiiaka;Melicope;elliptica
7573;pepperleaf sweetwood;Licaria;triandra
7587;Litsea;Litsea;
621;yellow-poplar;Liriodendron;tulipifera
7595;vinegartree;Lophostemon;confertus
7590;geno geno;Lonchocarpus;domingensis
7591;geno;Lonchocarpus;glaucifolius
7592;broadleaf lancepod;Lonchocarpus;heptaphyllus
7606;Lunania ekmanii;Lunania;ekmanii
7602;bakauaine, nana;Lumnitzera;littorea
7604;lunania;Lunania;
7598;Egg Fruit / Canistel;Lucuma;nervosa
7600;luehea;Luehea;speciosa
884;false tamarind;Lysiloma;latisiliquum
7608;St. Thomas staggerbush;Lyonia;rubiginosa
651;cucumbertree;Magnolia;acuminata
7652;mammee apple;Mammea;americana
662;southern crab apple;Malus;angustifolia
7688;Matayba apetala;Matayba;apetala
7662;bulletwood;Manilkara;bidentata
7663;Surinam bulletwood;Manilkara;bidentata
7618;bedel;Macaranga;carolinensis
7616;Macadamia;Macadamia;
7623;macaranga;Macaranga;
7679;bkau, apgau;Maranthes;corymbosa
7643;Singapore holly;Malpighia;coccigera
8549;naupaka kuahiwi;Scaevola;chamissoniana
8554;Florida boxwood;Schaefferia;frutescens
8550;mountain naupaka;Scaevola;gaudichaudiana
8557;yuquilla;Schefflera;gleasonii
8555;schaefferia;Schaefferia;
8577;kuat;Scyphiphora;hydrophyllacea
8561;Peruvian peppertree;Schinus;molle
8558;matchwood;Schefflera;morototonii
8572;white beefwood;Schoepfia;obovata
8567;lac tree;Schleichera;oleosa
8565;Brazilian firetree;Schizolobium;parahybum
8551;forest naupaka;Scaevola;procera
8559;samoensis;Schefflera;samoensis
8573;gulf graytwig;Schoepfia;schreberi
8560;Toitoi;Scaevola;taccada
8563;Brazilian peppertree;Schinus;terebinthifolius
8588;emperor's candlesticks;Senna;alata
7728;Haupa Mountain melicope;Melicope;haupuensis
7729;mokihana kukae moa;Melicope;hawaiensis
8589;flor de San Jose;Senna;atomaria
8583;poumuli;Securinega;flexuosa
8590;Gaudichauds senna;Senna;gaudichaudii
212;giant sequoia;Sequoiadendron;giganteum
8605;vegetable hummingbird;Sesbania;grandiflora
8601;ukall;Serianthes;kanehirae
8591;false sicklepod;Senna;multijuga
8603;hayun lago, trongkon guafi;Serianthes;nelsonii
8598;senna;Senna;
8592;valamuerto;Senna;pendula
8594;retama prieta;Senna;polyphylla
8607;riverhemp;Sesbania;
8595;senna;Senna;septemtrionalis
211;redwood;Sequoia;sempervirens
8606;Egyptian riverhemp;Sesbania;sesban
8596;Siamese cassia;Senna;siamea
8597;casia amarilla;Senna;spectabilis
8599;Senna sulfurea;Senna;sulfurea
8600;glossy shower;Senna;surattensis
8586;tonget;Semecarpus;venenosa
8611;espejuelo;Sideroxylon;cubense
8610;fanpetals;Sida;
8620;hoja menuda;Siphoneugena;densiflora
8609;yellow llima;Sida;fallax
890;false mastic;Sideroxylon;foetidissimum
895;paradisetree;Simarouba;glauca
381;chittamwood, gum bumelia;Sideroxylon;lanuginosum
8617;simarouba;Simarouba;
8613;breakbill;Sideroxylon;obovatum
8614;Puerto Rico bully;Sideroxylon;portoricense
891;white bully, willow bustic;Sideroxylon;salicifolium
8619;aceitillo falso;Simarouba;tulae
8623;motillo;Sloanea;amygdalina
8624;bullwood;Sloanea;berteriana
8622;bullwood;Sloanea;
870;Texas sophora;Sophora;affinis
8639;mangrove;Sonneratia;alba
8628;American black nightshade;Solanum;americanum
6477;night jessamine;Cestrum;nocturnum
6441;trumpet tree;Cecropia;obtusifolia
462;hackberry;Celtis;occidentalis
6445;Spanish cedar;Cedrela;odorata
6452;Celtis paniculata;Celtis;paniculata
6449;kapoktree;Ceiba;pentandra
6463;Cerbera spp;Cerbera;spp
6470;sweetpotato cactus;Cereus;
6443;pumpwood;Cecropia;schreberiana
6457;St. John's bread;Ceratonia;siliqua
6478;jessamine;Cestrum;
6472;biut;Ceriops;tagal
6454;almex;Celtis;trinervia
6496;sandmat;Chamaesyce;
40;white-cedar ;Chamaecyparis;
6539;bastard redwood;Chrysophyllum;argenteum
6481;jointed sandmat;Chamaesyce;articulata
6503;papala;Charpentiera;
6482;koko;Chamaesyce;atrococca
6519;hueso;Chionanthus;axilliflorus
6541;star apple;Chrysophyllum;cainito
6483;ekoko;Chamaesyce;celastroides
431;giant chinkapin, golden chinkapin;Chrysolepis;chrysophylla
6520;bridgotree;Chionanthus;compactus
6497;Napali coast papala;Charpentiera;densiflora
6507;Domins club;Cheirodendron;dominii
6521;white rosewood;Chionanthus;domingensis
6513;cheirodendron;Cheirodendron;
8084;screwpine;Pandanus;
6529;african teak;Chlorophora;excelsa
6508;Fauries club;Cheirodendron;fauriei
6509;olapa;Cheirodendron;forbesii
6492;Herbsts sandmat;Chamaesyce;herbstii
6522;hueso prieto;Chionanthus;holdridgei
6535;icaco coco plum;Chrysobalanus;icaco
6493;kokomalei;Chamaesyce;kuwaleana
41;Port-Orford-cedar;Chamaecyparis;lawsoniana
6523;cabra blanca;Chionanthus;ligustrinus
42;Alaska yellow-cedar;Chamaecyparis;nootkatensis
6517;alaweo;Chenopodium;oahuense
6499;broadleaf papala;Charpentiera;obovata
6542;satinleaf;Chrysophyllum;oliviforme
6494;alpine sandmat;Chamaesyce;olowaluana
6500;Koolau Range papala;Charpentiera;ovata
6543;camito de perro;Chrysophyllum;pauciflorum
6510;lapalapa;Cheirodendron;platyphyllum
6495;Koolau Range sandmat;Chamaesyce;rockii
6526;puntaj jayuya;Chione;seminervis
6532;silk-floss tree;Chorisia;speciosa
43;Atlantic white-cedar;Chamaecyparis;thyoides
6504;Waianae Range papala;Charpentiera;tomentosa
